Date,Category,Amount,Payment Method,Description
2026-01-02,Food,250,UPI,Burger
2026-01-05,Transport,100,Cash,Metro
2026-01-08,Shopping,1200,Card,Clothes
2026-01-12,Bills,1500,UPI,Electricity
2026-01-15,Food,300,UPI,Restaurant
2026-01-18,Entertainment,500,Card,Movie
2026-01-20,Transport,80,Cash,Bus
2026-01-25,Shopping,2000,Card,Shoes

2026-02-03,Food,180,UPI,Coffee
2026-02-06,Transport,120,Cash,Taxi
2026-02-09,Shopping,900,Card,Shirt
2026-02-12,Bills,1300,UPI,Internet
2026-02-15,Food,400,UPI,Cafe
2026-02-18,Entertainment,700,Card,Concert
2026-02-22,Transport,150,Cash,Metro

2026-03-02,Food,220,UPI,Breakfast
2026-03-06,Shopping,1500,Card,Watch
2026-03-10,Bills,1600,UPI,Electricity
2026-03-12,Transport,90,Cash,Bus
2026-03-15,Food,350,UPI,Dinner
2026-03-18,Entertainment,600,Card,Movie
2026-03-22,Shopping,1100,Card,Bag

2026-04-01,Food,200,UPI,Tea
2026-04-05,Transport,130,Cash,Metro
2026-04-08,Shopping,1800,Card,Shoes
2026-04-12,Bills,1400,UPI,Internet
2026-04-15,Food,320,UPI,Lunch
2026-04-18,Entertainment,800,Card,Game
2026-04-22,Transport,100,Cash,Bus
2026-04-25,Shopping,2100,Card,Clothes
